abbr,LongName,cases_per_100K,case_date,vax_date,Census2019,Series_Complete_Pop_Pct,any_mandate_in_place,description_of_mandate,statewide_face_mask_requirement,emergency_declaration,status_of_reopening,state_abbv
RI,Rhode Island,2359.9,2022-01-22,2022-01-23,1059361,78.4,Yes,Employees of healthcare facilities must be vaccinated against COVID-19 effective 10/10/2021.,No,Yes,Reopened,RI
SC,South Carolina,2077.9,2022-01-22,2022-01-23,5148714,54.6,No,NA,No,No,Reopened,SC
SD,South Dakota,1528.2,2022-01-22,2022-01-23,884659,58.6,Prohibited,NA,No,No,Reopened,SD
TN,Tennessee,1729.6,2022-01-22,2022-01-23,6829174,52.5,Prohibited,Government entities may not enact a policy that would require individuals to be vaccinated against COVID-19.,No,No,Reopened,TN
TX,Texas,1416.9,2022-01-22,2022-01-23,28995881,58.4,Prohibited,"Government entities, state agencies, political subdivisions, and any public or private entity that is receiving or will receive public funds may not require an individual to receive COVID-19 vaccination or provide documentation regarding vaccination status as a condition of receiving services or entering any place.",No,Yes,Reopened,TX
UT,Utah,2359.8,2022-01-22,2022-01-23,3205958,60.2,Prohibited,"Government entities may not require individuals to receive the COVID-19 vaccine, unless they work in public health or a medical setting.",No,Yes,Reopened,UT
VA,Virginia,1131.5,2022-01-22,2022-01-23,8535519,70.3,Yes,State employees are required to provide proof of COVID-19 vaccination or undergo weekly testing for COVID-19 effective 9/1/2021.,No,No,Reopened,VA
VT,Vermont,1872.3,2022-01-22,2022-01-23,623989,79.1,No,NA,No,No,Reopened,VT
WA,Washington,1449.5,2022-01-22,2022-01-23,7614893,69.6,Yes,"State executive branch employees and on-site contractors and volunteers, along with public and private health care and long-term care workers; and any worker in educational settings must be fully vaccinated against COVID-19 by 10/18/21
",Indoor Only,Yes,Reopened,WA
WI,Wisconsin,2552.1,2022-01-22,2022-01-23,5822434,63.3,No,NA,No,No,Reopened,WI
WV,West Virginia,1640.3,2022-01-22,2022-01-23,1792147,55.9,No,NA,No,Yes,Reopened,WV
WY,Wyoming,1538,2022-01-22,2022-01-23,578759,49.6,No,NA,No,Yes,Reopened,WY
